Date : 2024-04-17 14:30:50
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework
Total : 331 files,  30927 codes, 21404 comments, 6514 blanks, all 58845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        330 |     30,913 |     21,404 |      6,514 |     58,831 |
| UnityAssemblyDefinition |          1 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/ILocalizationManager.cs                                    | C#                      |         51 |        421 |         33 |        505 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/Language.cs                                                | C#                      |         57 |        162 |         52 |        271 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/LocalizationManager.cs                                     | C#                      |        488 |        501 |         77 |      1,066 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/AddressFamily.cs                                                | C#                      |          9 |         18 |          4 |         31 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/INetworkChannel.cs                                              | C#                      |         69 |         75 |         21 |        165 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/INetworkChannelHelper.cs                                        | C#                      |         18 |         46 |         10 |         74 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/INetworkManager.cs                                              | C#                      |         23 |         57 |         14 |         94 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/IPacketHandler.cs                                               | C#                      |         11 |         17 |          3 |         31 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/IPacketHeader.cs                                                | C#                      |         10 |         12 |          2 |         24 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkClosedEventArgs.cs                                       | C#                      |         25 |         23 |          5 |         53 |
